t,frame_id,x,y,z,qx,qy,qz,qw,t_sec
1763403997327143506,world,-3.300556182861328,2.1377031803131104,0.41214901208877563,-0.02012416161596775,-0.013902764767408371,0.1595962941646576,0.986879289150238,1763403997.3271434
1763403997352093143,world,-3.3005404472351074,2.1376800537109375,0.41212815046310425,-0.02019944041967392,-0.013967335224151611,0.1595250517129898,0.9868883490562439,1763403997.3520932
1763403997353321193,world,-3.300534248352051,2.1376383304595947,0.4120848774909973,-0.02007482573390007,-0.013832081109285355,0.15950986742973328,0.9868952631950378,1763403997.3533213
1763403997354631558,world,-3.3006041049957275,2.137592077255249,0.4120545983314514,-0.020169178023934364,-0.013680706731975079,0.15945066511631012,0.986905038356781,1763403997.354632
1763403997356581192,world,-3.3005874156951904,2.137565851211548,0.4120658040046692,-0.019910097122192383,-0.013729730620980263,0.1595994532108307,0.9868855476379395,1763403997.3565812
1763403997359390573,world,-3.300591230392456,2.1376075744628906,0.4120587706565857,-0.020023103803396225,-0.013735981658101082,0.15959176421165466,0.9868844747543335,1763403997.3593905
1763403997367995444,world,-3.300593376159668,2.1375765800476074,0.4120679497718811,-0.0200438741594553,-0.013779069297015667,0.15956683456897736,0.986887514591217,1763403997.3679955
1763403997377006878,world,-3.300579786300659,2.137575626373291,0.4120636582374573,-0.01994146779179573,-0.01375308632850647,0.1595795452594757,0.9868878722190857,1763403997.377007
1763403997382878736,world,-3.30057954788208,2.1375949382781982,0.41206347942352295,-0.019986756145954132,-0.013734492473304272,0.15955045819282532,0.9868919253349304,1763403997.3828788
1763403997397507762,world,-3.3005683422088623,2.1375977993011475,0.41207361221313477,-0.01998879946768284,-0.013786204159259796,0.15956631302833557,0.9868885278701782,1763403997.397508
1763403997405843020,world,-3.3005781173706055,2.1375718116760254,0.4120636284351349,-0.01997964270412922,-0.01376474741846323,0.15959298610687256,0.9868847131729126,1763403997.405843
1763403997410283361,world,-3.300565719604492,2.1375675201416016,0.4120517373085022,-0.020007777959108353,-0.013779194094240665,0.15956367552280426,0.9868887662887573,1763403997.4102833
1763403997417061349,world,-3.300577163696289,2.1375572681427,0.41205182671546936,-0.01993502490222454,-0.013718211092054844,0.1595694124698639,0.9868900775909424,1763403997.4170616
1763403997426527143,world,-3.300584316253662,2.1375491619110107,0.41204506158828735,-0.019951829686760902,-0.013741773553192616,0.15957829356193542,0.9868879914283752,1763403997.4265273
1763403997433650558,world,-3.3005847930908203,2.1375486850738525,0.41205132007598877,-0.019882911816239357,-0.013705464079976082,0.15956862270832062,0.9868914484977722,1763403997.4336505
1763403997441590093,world,-3.300570011138916,2.1375701427459717,0.4120614528656006,-0.019977305084466934,-0.01372465305030346,0.1595146656036377,0.9868980646133423,1763403997.44159
1763403997452609801,world,-3.3005714416503906,2.1375699043273926,0.41206109523773193,-0.019921373575925827,-0.01374349370598793,0.15957652032375336,0.9868888854980469,1763403997.45261
1763403997458303656,world,-3.300579309463501,2.137564182281494,0.4120512902736664,-0.019947463646531105,-0.01372842863202095,0.15958809852600098,0.9868866801261902,1763403997.458304
1763403997468307012,world,-3.300584554672241,2.1375732421875,0.4120449721813202,-0.01997121050953865,-0.013777688145637512,0.15955886244773865,0.9868903160095215,1763403997.468307
1763403997480217565,world,-3.3005776405334473,2.137558937072754,0.4120558202266693,-0.01991317793726921,-0.013744139112532139,0.15954594314098358,0.9868940114974976,1763403997.4802177
1763403997481927695,world,-3.300569772720337,2.137561559677124,0.41205593943595886,-0.019940149039030075,-0.01370610948652029,0.15953868627548218,0.9868950843811035,1763403997.4819279
1763403997491538050,world,-3.300563097000122,2.1375725269317627,0.41204750537872314,-0.019992254674434662,-0.013778960332274437,0.1595613956451416,0.9868893623352051,1763403997.4915383
1763403997498097258,world,-3.3005757331848145,2.1375572681427,0.4120471179485321,-0.01997973956167698,-0.013741220347583294,0.15957097709178925,0.9868886470794678,1763403997.4980972
1763403997507154858,world,-3.300560235977173,2.137552261352539,0.41204506158828735,-0.01997191645205021,-0.013787109404802322,0.15954148769378662,0.9868928790092468,1763403997.507155
1763403997519619208,world,-3.300567388534546,2.1375973224639893,0.41206449270248413,-0.020038405433297157,-0.013773282058537006,0.15954869985580444,0.9868905544281006,1763403997.5196195
1763403997535837368,world,-3.300569772720337,2.1375977993011475,0.41207069158554077,-0.01997470110654831,-0.013751248829066753,0.15952850878238678,0.9868955016136169,1763403997.5358377
1763403997536497975,world,-3.300567865371704,2.137568950653076,0.4120589792728424,-0.019986599683761597,-0.013780895620584488,0.15955613553524017,0.9868903160095215,1763403997.536498
1763403997542265634,world,-3.300565242767334,2.1375718116760254,0.4120545983314514,-0.019954172894358635,-0.013761885464191437,0.15952041745185852,0.9868970513343811,1763403997.5422657
1763403997549545262,world,-3.3005926609039307,2.1375620365142822,0.4120507538318634,-0.019888347014784813,-0.013707984238862991,0.15958751738071442,0.9868882298469543,1763403997.5495453
1763403997561226019,world,-3.300568103790283,2.1376004219055176,0.41206276416778564,-0.020003709942102432,-0.013772211968898773,0.1595487743616104,0.9868913292884827,1763403997.5612261
1763403997573263533,world,-3.3005688190460205,2.1375880241394043,0.412057101726532,-0.02001768909394741,-0.013797573745250702,0.15955796837806702,0.986889123916626,1763403997.5732636
1763403997576032689,world,-3.300570249557495,2.1375677585601807,0.4120500683784485,-0.02000650204718113,-0.013772726058959961,0.15954232215881348,0.9868922829627991,1763403997.5760329
1763403997582327720,world,-3.3005831241607666,2.1375648975372314,0.41205334663391113,-0.01997976005077362,-0.013734628446400166,0.15953461825847626,0.9868946075439453,1763403997.5823278
